"genes","logFC","logCPM","LR","PValue","FDR","symbol","biotype","description"
"ENSMUSG00000097709",10.5515108867687,8.80040958672162,62.4415907907185,2.74465259178021e-15,5.51675170947823e-13,"2810429I04Rik","lincRNA","RIKEN cDNA 2810429I04 gene [Source:MGI Symbol;Acc:MGI:1924187]"
"ENSMUSG00000000031",9.96133633173862,17.9139699640353,230.275045314629,5.19230196428323e-52,4.17461077928372e-49,"H19","lincRNA","H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]"
"ENSMUSG00000110125",7.63142835409512,6.12536609738076,36.8251826759956,1.29210424747219e-09,5.77139897204245e-08,"Gm33148","lincRNA","predicted gene, 33148 [Source:MGI Symbol;Acc:MGI:5592307]"
"ENSMUSG00000086187",7.57108902905794,6.06488473520882,43.9508444523083,3.36727037114999e-11,2.08252721415738e-09,"Gm12860","lincRNA","predicted gene 12860 [Source:MGI Symbol;Acc:MGI:3651651]"
"ENSMUSG00000108866",7.51366516010354,6.01262508999253,36.0242976781211,1.94872329012109e-09,7.46082631074931e-08,"Gm35082","lincRNA","predicted gene, 35082 [Source:MGI Symbol;Acc:MGI:5594241]"
"ENSMUSG00000101086",7.46573893439251,5.97372410797453,41.2899885476714,1.31239340023459e-10,7.03442862525741e-09,"Gm28651","lincRNA","predicted gene 28651 [Source:MGI Symbol;Acc:MGI:5579357]"
"ENSMUSG00000043903",7.43364763822528,7.490948972339,47.0239873625499,7.01231967248555e-12,6.26433890742043e-10,"Zfp469","lincRNA","zinc finger protein 469 [Source:MGI Symbol;Acc:MGI:2684868]"
"ENSMUSG00000097755",7.4194097944948,5.9411898625555,40.3974161315047,2.0721496140692e-10,1.01607462263936e-08,"2010110K18Rik","lincRNA","RIKEN cDNA 2010110K18 gene [Source:MGI Symbol;Acc:MGI:1922951]"
"ENSMUSG00000075025",7.31032784287157,8.06234048540031,55.1843554693286,1.09738713727328e-13,1.26042751195388e-11,"Gm10804","lincRNA","predicted gene 10804 [Source:MGI Symbol;Acc:MGI:3641755]"
"ENSMUSG00000087547",7.27020808359268,5.81664627829235,33.0396815172976,9.02969945048063e-09,2.50340633040911e-07,"Platr27","lincRNA","pluripotency associated transcript 27 [Source:MGI Symbol;Acc:MGI:1925566]"
"ENSMUSG00000059244",7.1358761703544,5.70703194809695,35.2877807982873,2.84410881794733e-09,1.01052608497655e-07,"Gm10062","lincRNA","predicted gene 10062 [Source:MGI Symbol;Acc:MGI:3641967]"
"ENSMUSG00000105146",7.09793268145115,5.68766041602523,33.386382537134,7.5551120919295e-09,2.16939647211118e-07,"Gm35409","lincRNA","predicted gene, 35409 [Source:MGI Symbol;Acc:MGI:5594568]"
"ENSMUSG00000108801",6.82746661986243,5.48643031237406,26.1251009904119,3.19996938415568e-07,5.59298996708949e-06,"Gm39090","lincRNA","predicted gene, 39090 [Source:MGI Symbol;Acc:MGI:5621975]"
"ENSMUSG00000107585",6.75180285602467,5.40298039912265,21.5160590847113,3.50877980084373e-06,4.86389475841097e-05,"3300002P13Rik","lincRNA","RIKEN cDNA 3300002P13 gene [Source:MGI Symbol;Acc:MGI:1917480]"
"ENSMUSG00000099988",6.36208212849251,5.15959253214386,16.9043825828868,3.9310716059629e-05,0.00042187699811573,"1700054A03Rik","lincRNA","RIKEN cDNA 1700054A03 gene [Source:MGI Symbol;Acc:MGI:1925707]"
"ENSMUSG00000107622",6.02915711378839,4.89718998226011,15.2923782004059,9.20873209113036e-05,0.000914051926082569,"4930512J16Rik","lincRNA","RIKEN cDNA 4930512J16 gene [Source:MGI Symbol;Acc:MGI:1922381]"
"ENSMUSG00000108676",5.89699796377601,4.77827449014593,11.1997624550326,0.000818078039090281,0.00571943255155292,"1700123J17Rik","lincRNA","RIKEN cDNA 1700123J17 gene [Source:MGI Symbol;Acc:MGI:1923978]"
"ENSMUSG00000104835",5.87688946043825,4.76970256163064,11.3029947908165,0.000773821744742725,0.00546750813582925,"Gm5547","lincRNA","predicted gene 5547 [Source:MGI Symbol;Acc:MGI:3648206]"
"ENSMUSG00000109137",5.77748791065491,6.68673524362296,46.2938590876343,1.01782464464435e-11,7.43937285721868e-10,"Gm34908","lincRNA","predicted gene, 34908 [Source:MGI Symbol;Acc:MGI:5594067]"
"ENSMUSG00000078838",5.74770400430277,4.72653904641951,13.902228130575,0.000192570046573102,0.00172029241605304,"Gm17382","lincRNA","predicted gene, 17382 [Source:MGI Symbol;Acc:MGI:4937016]"
"ENSMUSG00000097832",5.73243013466265,4.70967235495036,13.4030496348204,0.000251215530371735,0.00217179877869758,"Gm26912","lincRNA","predicted gene, 26912 [Source:MGI Symbol;Acc:MGI:5477406]"
"ENSMUSG00000086712",5.67908983503949,5.93951451362825,34.6445598973751,3.95742958265762e-09,1.3257389101903e-07,"AI427809","lincRNA","expressed sequence AI427809 [Source:MGI Symbol;Acc:MGI:2140270]"
"ENSMUSG00000086075",5.64398447340953,4.70425738353128,11.4785094868075,0.000704055717662707,0.00509964681982717,"Gm15728","lincRNA","predicted gene 15728 [Source:MGI Symbol;Acc:MGI:3783171]"
"ENSMUSG00000104529",5.63902412950365,4.629827824087,10.8362795266805,0.000995305157786772,0.00666854455717137,"Rbakdn","lincRNA","RB-associated KRAB zinc finger downstream neighbor (non-protein coding) [Source:MGI Symbol;Acc:MGI:3782099]"
